WelzlTime - NaifTime
360 - 107322
534 - 80931
188 - 83207
628 - 88693
266 - 106757
442 - 103070
468 - 83032
345 - 83987
417 - 96650
294 - 81193
464 - 86741
540 - 103250
528 - 93938
408 - 93247
288 - 98992
160 - 98939
574 - 82437
303 - 114288
433 - 96486
604 - 84424
964 - 100154
273 - 96533
320 - 97027
192 - 80706
144 - 103463
470 - 102062
1598 - 101266
259 - 96501
327 - 93203
108 - 84411
326 - 90019
432 - 104752
171 - 104562
411 - 100456
948 - 640
497 - 92681
487 - 112835
262 - 91923
803 - 91933
226 - 112043
157 - 107544
326 - 87035
534 - 114930
320 - 104131
667 - 100603
276 - 101906
607 - 297
122 - 82375
334 - 89417
370 - 89120
207 - 99989
430 - 101738
538 - 90079
411 - 112913
127 - 95882
265 - 94944
436 - 96587
667 - 91564
469 - 118738
291 - 98101
250 - 99590
335 - 102623
473 - 90086
387 - 91417
418 - 774
594 - 82373
642 - 92332
189 - 91663
636 - 84135
242 - 107547
303 - 110149
189 - 111037
108 - 117865
394 - 101948
453 - 85490
315 - 107416
225 - 85769
221 - 99151
485 - 97261
895 - 112429
280 - 88689
223 - 94808
294 - 106268
955 - 87206
697 - 91770
212 - 107825
196 - 106252
269 - 95720
369 - 103511
478 - 93170
449 - 109291
229 - 86243
310 - 100598
798 - 114273
341 - 390
715 - 88091
475 - 94265
388 - 87930
482 - 105203
332 - 100219
133 - 83613
301 - 103888
267 - 105019
434 - 94241
280 - 82163
481 - 85546
400 - 109514
140 - 95036
332 - 104018
356 - 84118
634 - 107628
372 - 113107
328 - 104892
530 - 79927
264 - 158
519 - 85870
550 - 92922
143 - 89467
281 - 112301
164 - 110667
280 - 96306
336 - 101059
218 - 87730
321 - 107224
457 - 92379
189 - 101381
828 - 88996
152 - 82924
325 - 377
621 - 84661
211 - 92199
864 - 93830
120 - 90350
302 - 93938
418 - 94458
333 - 98424
554 - 108529
292 - 106989
144 - 82676
208 - 524
214 - 100292
182 - 97593
548 - 90078
287 - 97302
210 - 92022
594 - 92888
244 - 96894
246 - 93054
509 - 89149
291 - 104466
573 - 98755
481 - 102078
185 - 104663
456 - 82706
357 - 86272
642 - 87466
244 - 82307
159 - 100226
647 - 104770
371 - 98451
233 - 95957
351 - 94924
741 - 94057
355 - 93407
638 - 109127
152 - 114587
311 - 93610
579 - 87844
214 - 107724
361 - 94290
169 - 100326
209 - 101827
1407 - 112801
457 - 90358
358 - 95176
675 - 36
818 - 105451
452 - 90262
248 - 89631
211 - 104541
228 - 80433
178 - 102670
247 - 91953
184 - 100743
254 - 109972
451 - 91508
1509 - 83425
156 - 99584
276 - 89518
222 - 99225
341 - 105457
107 - 98246
322 - 91585
319 - 89571
510 - 92773
525 - 104985
201 - 81747
503 - 102824
198 - 105133
